"SUID","AverageShortestPathLength","BetweennessCentrality","canonicalName","ClosenessCentrality","ClusteringCoefficient","Drug target","Eccentricity","EdgeCount","hiddenLabel","Indegree","IsSingleNode","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","Rule change in X cell line","selected","SelfLoops","shared name","Stress"
"178","6.17241379","0.02167887","SFRP1","0.16201117","0.0",,"9","2","","1","false","","Unclustered","0.6666666666666666","SFRP1","2.5","1","0","","false","0","SFRP1","860"
"179","5.76551724","0.0182639","LEF1","0.17344498","0.0",,"10","2","","1","false","","Unclustered","0.6666666666666666","LEF1","3.5","1","0","","false","0","LEF1","808"
"180","6.04137931","0.05082205","CTNNB1","0.16552511","0.0","true","11","4","","2","false","","Unclustered","0.4","CTNNB1","4.75","2","0","","false","0","CTNNB1","2115"
"181","3.82758621","0.13498089","RTPK_f","0.26126126","0.01785714",,"8","8","","4","false","Cluster 1","Unclustered","2.0","RTPK_f","6.625","4","0","AGS,SW620","false","0","RTPK_f","6397"
"182","5.57241379","0.01011973","PTEN_g","0.17945545","0.0",,"9","2","","1","false","","Unclustered","0.6666666666666666","PTEN_g","5.0","1","0","","false","0","PTEN_g","400"
"183","4.80689655","0.06879677","MMP_f","0.20803443","0.0",,"9","3","","2","false","","Unclustered","0.5","MMP_f","7.333333333333333","1","0","","false","0","MMP_f","3734"
"184","6.52413793","0.00992816","EGR1","0.15327696","0.0",,"10","2","","1","false","","Unclustered","0.6666666666666666","EGR1","4.0","1","0","","false","0","EGR1","437"
"185","5.97241379","0.02153812","CCND1","0.16743649","0.05",,"9","5","","3","false","Cluster 2|Cluster 1","Clustered","2.0","CCND1","7.2","2","0","","false","0","CCND1","1454"
"186","7.47586207","0.04720763","MYC","0.13376384","0.01785714","true","11","8","","5","false","Cluster 2|Cluster 1","Clustered","2.0","MYC","5.875","3","0","","false","0","MYC","1832"
"187","7.35172414","0.01983682","DKK_g","0.13602251","0.16666667",,"11","3","","2","false","Cluster 2|Cluster 1","Clustered","2.0","DKK_g","5.333333333333333","1","0","AGS,SW620","false","0","DKK_g","708"
"188","5.96551724","0.03007435","TCF7_f","0.16763006","0.03333333",,"10","6","","2","false","Cluster 2|Cluster 1","Clustered","2.0","TCF7_f","4.166666666666667","4","0","AGS","false","0","TCF7_f","1273"
"189","5.73793103","0.01542668","FOXO_f","0.17427885","0.0",,"10","4","","2","false","","Unclustered","0.4","FOXO_f","6.25","2","0","","false","0","FOXO_f","606"
"190","6.3862069","0.02002839","DKK_f","0.15658747","0.0",,"10","2","","1","false","","Unclustered","0.6666666666666666","DKK_f","5.5","1","0","","false","0","DKK_f","701"
"191","5.04827586","0.0119309","SMAD6","0.19808743","0.25",,"8","5","","1","false","Cluster 1|Cluster 3","Clustered","3.0","SMAD6","10.2","4","0","","false","0","SMAD6","625"
"192","3.77241379","0.15331463","SMAD7","0.26508227","0.08888889",,"7","12","","6","false","","Unclustered","2.1999999999999997","SMAD7","8.1","6","2","SW620","false","0","SMAD7","6638"
"193","5.0","0.05203102","TP53","0.2","0.04166667",,"9","9","","5","false","","Unclustered","1.0666666666666667","TP53","6.777777777777778","4","0","","false","0","TP53","2290"
"194","5.03448276","0.03416178","SKP2","0.19863014","0.0",,"8","4","","3","false","","Unclustered","0.4","SKP2","9.5","1","0","","false","0","SKP2","2024"
"195","5.09655172","0.02528894","CBPp300_c","0.1962111","0.03333333",,"8","6","","3","false","Cluster 1","Unclustered","2.0","CBPp300_c","7.0","3","0","","false","0","CBPp300_c","897"
"196","5.84827586","0.03681397","JAK_f","0.17099057","0.0","true","11","6","","3","false","","Unclustered","0.2857142857142857","JAK_f","5.666666666666667","3","0","SW620","false","0","JAK_f","2342"
"197","7.22068966","0.02383074","SHC1","0.13849093","0.06666667",,"11","6","","5","false","Cluster 1","Unclustered","1.6666666666666667","SHC1","7.166666666666667","1","0","","false","0","SHC1","852"
"198","5.57241379","0.03130608","IRAK1","0.17945545","0.0",,"11","4","","2","false","","Unclustered","0.4","IRAK1","6.25","2","0","AGS","false","0","IRAK1","2211"
"199","5.89655172","0.02979921","SYK","0.16959064","0.0","true","9","3","","1","false","","Unclustered","0.5","SYK","3.6666666666666665","2","0","","false","0","SYK","2179"
"200","5.40689655","0.08662531","ILR_f","0.18494898","0.0",,"10","6","","2","false","","Unclustered","0.2857142857142857","ILR_f","4.5","4","0","","false","0","ILR_f","5869"
"201","5.74482759","0.03001168","TGFBR2","0.17406963","0.15",,"9","5","","3","false","Cluster 1","Unclustered","1.4","TGFBR2","6.0","2","0","SW620","false","0","TGFBR2","1329"
"202","4.06206897","0.0561306","DUSP1","0.24617997","0.1",,"7","6","","4","false","","Unclustered","1.6666666666666667","DUSP1","7.6","2","1","","false","0","DUSP1","3181"
"203","0.0","0.0","Prosurvival","0.0","0.16666667",,"0","3","","3","false","Cluster 2|Cluster 1","Clustered","2.0","Prosurvival","8.0","0","0","","false","0","Prosurvival","0"
"204","4.62758621","0.09409282","RAC_f","0.21609538","0.0",,"8","10","","5","false","","Unclustered","0.18181818181818182","RAC_f","3.5","5","0","AGS","false","0","RAC_f","4085"
"205","5.57931034","0.04662871","CHUK","0.17923362","0.0",,"9","6","","3","false","","Unclustered","0.2857142857142857","CHUK","6.0","3","0","","false","0","CHUK","1779"
"206","5.48965517","0.03025879","CSK","0.1821608","0.0",,"9","2","","1","false","","Unclustered","0.6666666666666666","CSK","5.5","1","0","","false","0","CSK","1002"
"207","4.52413793","0.05582782","SRC","0.22103659","0.03571429",,"8","8","","2","false","Cluster 1","Unclustered","1.6666666666666667","SRC","6.25","6","0","AGS,SW620","false","0","SRC","1893"
