mutated_node	node_ko	drugs	growth	nb_fixpoints	stable_state
SRC%0	STAT3%0,PDPK1%0	ST-G2	0.0	1	01110111111011001000000111111100110100010100001111110000111111011110101110000111011111011001110111010000101111010111111110011000110101111101010010
SRC%0	STAT3%0,ROCK1%0	ST-G4	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111001111011001110111010000101111010111111110011000110001111101010001
SRC%0	STAT3%0,SYK%0	ST-P5	3.0	1	01113111011011001000011111111010110100001100001111110000111111011110100001111111001111011001110111010000101111010111111110011000110001111101010001
SRC%0	PDPK1%0,ROCK1%0	G2-G4	1.0	1	01111111111011001000001111111100110100010100001111110000111111011110101110000111111111011001110111010000101111010111111110011000110101111101010010
SRC%0	PDPK1%0,SYK%0	G2-P5	1.0	1	01111111011011001000001111111100110100010100001111110000111111011110100000000111111111011001110111010000101111010111111110011000110101111101010010
SRC%0	ROCK1%0,SYK%0	G4-P5	3.0	1	01113111011011001000011111111010110100001100001111110000111111011110100001111111101111011001110111010000101111010111111110011000110001111101010001
CSK%0	MAP3K7%0	5Z	2.0	1	10113111111011001011011010111010110100001100001111111100111111010110101111111111101101011001110110010000101111010110011111111000110001111101010001
CSK%0	AKT_f%0	AK	1.0	1	10113111111001001010011111111011110100011100001011012101111111011110101111101111110111011000010111010111101111000111111111011000110001111111101101
CSK%0	MAPK14%0	BI	3.0	1	10113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111111111000110001111101010001
CSK%0	GSK3_f%0	CT	3.0	1	10113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111111111000110001111101010001
CSK%0	MEK_f%0	PD	2.0	1	10112111111010001000011111111010110100001000001111110000111111011010111111011111101111011001110111010000100011010111111111111000110001111101010001
